timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664110666168,1268,Get Users,200,OK,stress 1-1,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1268,0,1021
1664110667437,219,Delete User,200,OK,stress 1-1,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,219,0,0
1664110667656,223,Get User by ID,200,OK,stress 1-1,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,223,0,0
1664110668175,920,Get Users,200,OK,stress 1-2,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,920,0,678
1664110669096,225,Delete User,200,OK,stress 1-2,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,225,0,0
1664110669321,229,Get User by ID,200,OK,stress 1-2,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,229,0,0
1664110670172,971,Get Users,200,OK,stress 1-3,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,971,0,730
1664110671144,231,Delete User,200,OK,stress 1-3,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,231,0,0
1664110671376,235,Get User by ID,200,OK,stress 1-3,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,235,0,0
1664110672173,1132,Get Users,200,OK,stress 1-4,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1132,0,902
1664110673305,346,Delete User,200,OK,stress 1-4,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,346,0,0
1664110673652,246,Get User by ID,200,OK,stress 1-4,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,246,0,0
1664110674177,980,Get Users,200,OK,stress 1-5,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,980,0,734
1664110675157,224,Delete User,200,OK,stress 1-5,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,224,0,0
1664110675382,240,Get User by ID,200,OK,stress 1-5,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,240,0,0
1664110676186,915,Get Users,200,OK,stress 1-6,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,915,0,682
1664110677101,217,Delete User,200,OK,stress 1-6,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,217,0,0
1664110677318,230,Get User by ID,200,OK,stress 1-6,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,230,0,0
1664110678174,908,Get Users,200,OK,stress 1-7,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,908,0,679
1664110679083,234,Delete User,200,OK,stress 1-7,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,234,0,0
1664110679318,264,Get User by ID,200,OK,stress 1-7,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,264,0,0
1664110680174,939,Get Users,200,OK,stress 1-8,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,939,0,699
1664110681113,235,Delete User,200,OK,stress 1-8,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,235,0,0
1664110681349,227,Get User by ID,200,OK,stress 1-8,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,227,0,0
1664110682172,964,Get Users,200,OK,stress 1-9,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,964,0,690
1664110683135,240,Delete User,200,OK,stress 1-9,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,240,0,0
1664110683375,238,Get User by ID,200,OK,stress 1-9,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,238,0,0
1664110684173,925,Get Users,200,OK,stress 1-10,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,925,0,689
1664110685099,235,Delete User,200,OK,stress 1-10,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,235,0,0
1664110685334,233,Get User by ID,200,OK,stress 1-10,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,233,0,0
1664110686172,969,Get Users,200,OK,stress 1-11,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,969,0,718
1664110687142,231,Delete User,200,OK,stress 1-11,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,231,0,0
1664110687374,223,Get User by ID,200,OK,stress 1-11,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,223,0,0
1664110688174,899,Get Users,200,OK,stress 1-12,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,899,0,660
1664110689073,222,Delete User,200,OK,stress 1-12,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,222,0,0
1664110689296,222,Get User by ID,200,OK,stress 1-12,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,222,0,0
1664110690173,916,Get Users,200,OK,stress 1-13,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,916,0,678
1664110691089,219,Delete User,200,OK,stress 1-13,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,219,0,0
1664110691308,219,Get User by ID,200,OK,stress 1-13,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,219,0,0
1664110692173,885,Get Users,200,OK,stress 1-14,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,885,0,661
1664110693058,236,Delete User,200,OK,stress 1-14,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,236,0,0
1664110693295,212,Get User by ID,200,OK,stress 1-14,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,212,0,0
1664110694175,912,Get Users,200,OK,stress 1-15,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,912,0,676
1664110695087,230,Delete User,200,OK,stress 1-15,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,230,0,0
